Product_ID,Category,Sub-Category,Product_Name
OFF/STO-002731,Office Supplies,Storage,"Tenex Box, Single Width"
OFF/PAP-002198,Office Supplies,Paper,"Enermax Note Cards, Premium"
FUR/FUR-000514,Furniture,Furnishings,"Eldon Light Bulb, Duo Pack"
OFF/PAP-002158,Office Supplies,Paper,"Eaton Computer Printout Paper, 8.5 x 11"
OFF/SUP-002810,Office Supplies,Supplies,"Acme Trimmer, High Speed"
OFF/STO-002741,Office Supplies,Storage,"Tenex Lockers, Blue"
TEC/MAC-003413,Technology,Machines,"Okidata Inkjet, Wireless"
OFF/STO-002699,Office Supplies,Storage,"Smead File Cart, Blue"
FUR/BOO-000051,Furniture,Bookcases,"Dania Corner Shelving, Traditional"
TEC/COP-003246,Technology,Copiers,"Hewlett Fax and Copier, Laser"
OFF/SUP-002912,Office Supplies,Supplies,"Stiletto Scissors, Serrated"
OFF/FAS-001861,Office Supplies,Fasteners,"Advantus Rubber Bands, Metal"
OFF/APP-000881,Office Supplies,Appliances,"Breville Coffee Grinder, Black"
OFF/STO-002664,Office Supplies,Storage,"Rogers Folders, Industrial"
FUR/CHA-000264,Furniture,Chairs,"Hon Rocking Chair, Set of Two"
FUR/CHA-000348,Furniture,Chairs,"SAFCO Chairmat, Black"
TEC/ACC-002942,Technology,Accessories,"Belkin Numeric Keypad, Bluetooth"
TEC/COP-003265,Technology,Copiers,"Hewlett Wireless Fax, Laser"
OFF/APP-001000,Office Supplies,Appliances,"Hoover Microwave, White"
OFF/LAB-002003,Office Supplies,Labels,"Avery Color Coded Labels, Laser Printer Compatible"
FUR/TAB-000762,Furniture,Tables,"Chromcraft Round Table, Adjustable Height"
OFF/FAS-001935,Office Supplies,Fasteners,"Stockwell Staples, Metal"
OFF/STO-002742,Office Supplies,Storage,"Tenex Lockers, Industrial"
FUR/CHA-000303,Furniture,Chairs,"Novimex Swivel Stool, Set of Two"
OFF/ENV-001701,Office Supplies,Envelopes,"Cameo Interoffice Envelope, Set of 50"
OFF/ART-001098,Office Supplies,Art,"BIC Sketch Pad, Water Color"
TEC/PHO-003676,Technology,Phones,"Nokia Headset, VoIP"
OFF/ART-001124,Office Supplies,Art,"Binney & Smith Sketch Pad, Easy-Erase"
OFF/ENV-001789,Office Supplies,Envelopes,"Kraft Peel and Seal, Recycled"
TEC/ACC-003107,Technology,Accessories,"Memorex Mouse, USB"
OFF/LAB-002032,Office Supplies,Labels,"Harbour Creations File Folder Labels, 5000 Label Set"
OFF/ENV-001755,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Set of 50"
OFF/PAP-002242,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book"
OFF/ART-001151,Office Supplies,Art,"Boston Markers, Easy-Erase"
OFF/STO-002562,Office Supplies,Storage,"Eldon Folders, Single Width"
OFF/BIN-001411,Office Supplies,Binders,"Avery Hole Reinforcements, Durable"
OFF/ART-001161,Office Supplies,Art,"Boston Pens, Fluorescent"
TEC/ACC-002961,Technology,Accessories,"Enermax Keyboard, Bluetooth"
TEC/COP-003305,Technology,Copiers,"Sharp Ink, Laser"
FUR/BOO-000046,Furniture,Bookcases,"Dania Classic Bookcase, Pine"
OFF/SUP-002845,Office Supplies,Supplies,"Fiskars Letter Opener, Easy Grip"
OFF/APP-001009,Office Supplies,Appliances,"Hoover Stove, Black"
OFF/ART-001118,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Water Color"
OFF/ART-001269,Office Supplies,Art,"Sanford Canvas, Fluorescent"
OFF/BIN-001513,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs
OFF/LAB-001984,Office Supplies,Labels,Avery 508
OFF/STO-002681,Office Supplies,Storage,SAFCO Boltless Steel Shelving
FUR/FUR-000611,Furniture,Furnishings,"Rubbermaid Photo Frame, Durable"
OFF/FAS-001866,Office Supplies,Fasteners,"Advantus Staples, Metal"
OFF/STO-002588,Office Supplies,Storage,"Fellowes Box, Industrial"
TEC/ACC-003014,Technology,Accessories,"Logitech Flash Drive, Erganomic"
OFF/ENV-001710,Office Supplies,Envelopes,"Cameo Manila Envelope, with clear poly window"
OFF/ART-001063,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack"
OFF/PAP-002191,Office Supplies,Paper,"Enermax Memo Slips, Recycled"
OFF/STO-002752,Office Supplies,Storage,"Tenex Trays, Blue"
FUR/FUR-000391,Furniture,Furnishings,"Advantus Frame, Durable"
OFF/LAB-002094,Office Supplies,Labels,"Novimex Shipping Labels, Adjustable"
OFF/ART-001323,Office Supplies,Art,"Stanley Sketch Pad, Fluorescent"
OFF/BIN-001556,Office Supplies,Binders,"Ibico Index Tab, Durable"
OFF/FAS-001930,Office Supplies,Fasteners,"Stockwell Rubber Bands, Bulk Pack"
FUR/BOO-000023,Furniture,Bookcases,"Bush Floating Shelf Set, Pine"
OFF/FAS-001840,Office Supplies,Fasteners,"Accos Thumb Tacks, Assorted Sizes"
OFF/STO-002707,Office Supplies,Storage,"Smead Lockers, Industrial"
FUR/FUR-000403,Furniture,Furnishings,"Advantus Stacking Tray, Black"
TEC/COP-003269,Technology,Copiers,"HP Fax and Copier, Color"
OFF/ART-001179,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush"
OFF/ART-001317,Office Supplies,Art,"Stanley Pens, Blue"
OFF/PAP-002486,Office Supplies,Paper,Xerox 225
FUR/CHA-000176,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
OFF/ART-001265,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener
OFF/BIN-001549,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System
OFF/FAS-001874,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes"
OFF/PAP-002283,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes
TEC/PHO-003795,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster
TEC/PHO-003597,Technology,Phones,GE 30524EE4
OFF/ART-001097,Office Supplies,Art,"BIC Sketch Pad, Fluorescent"
TEC/ACC-003049,Technology,Accessories,"Logitech Router, Programmable"
TEC/MAC-003445,Technology,Machines,"Panasonic Phone, Wireless"
TEC/MAC-003434,Technology,Machines,"Panasonic Card Printer, White"
OFF/STO-002557,Office Supplies,Storage,"Eldon File Cart, Single Width"
OFF/ART-001322,Office Supplies,Art,"Stanley Sketch Pad, Easy-Erase"
OFF/BIN-001614,Office Supplies,Binders,"Wilson Jones Binder Covers, Clear"
OFF/STO-002708,Office Supplies,Storage,"Smead Lockers, Single Width"
FUR/BOO-000073,Furniture,Bookcases,"Ikea Classic Bookcase, Metal"
