product_id,product_name,category_Furniture,category_Office Supplies,category_Technology,sub_category_Accessories,sub_category_Appliances,sub_category_Art,sub_category_Binders,sub_category_Bookcases,sub_category_Chairs,sub_category_Copiers,sub_category_Envelopes,sub_category_Fasteners,sub_category_Furnishings,sub_category_Labels,sub_category_Machines,sub_category_Paper,sub_category_Phones,sub_category_Storage,sub_category_Supplies,sub_category_Tables
OFF/STO-002731,"Tenex Box, Single Width",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
OFF/PAP-002198,"Enermax Note Cards, Premium",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
FUR/FUR-000514,"Eldon Light Bulb, Duo Pack",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
OFF/PAP-002158,"Eaton Computer Printout Paper, 8.5 x 11",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
OFF/SUP-002810,"Acme Trimmer, High Speed",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
OFF/STO-002741,"Tenex Lockers, Blue",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
TEC/MAC-003413,"Okidata Inkjet, Wireless",False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
OFF/STO-002699,"Smead File Cart, Blue",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
FUR/BOO-000051,"Dania Corner Shelving, Traditional",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
TEC/COP-003246,"Hewlett Fax and Copier, Laser",False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
OFF/SUP-002912,"Stiletto Scissors, Serrated",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
OFF/FAS-001861,"Advantus Rubber Bands, Metal",False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
OFF/APP-000881,"Breville Coffee Grinder, Black",False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OFF/STO-002664,"Rogers Folders, Industrial",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
FUR/CHA-000264,"Hon Rocking Chair, Set of Two",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
FUR/CHA-000348,"SAFCO Chairmat, Black",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
TEC/ACC-002942,"Belkin Numeric Keypad, Bluetooth",False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TEC/COP-003265,"Hewlett Wireless Fax, Laser",False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
OFF/APP-001000,"Hoover Microwave, White",False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OFF/LAB-002003,"Avery Color Coded Labels, Laser Printer Compatible",False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
FUR/TAB-000762,"Chromcraft Round Table, Adjustable Height",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
OFF/FAS-001935,"Stockwell Staples, Metal",False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
OFF/STO-002742,"Tenex Lockers, Industrial",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
FUR/CHA-000303,"Novimex Swivel Stool, Set of Two",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
OFF/ENV-001701,"Cameo Interoffice Envelope, Set of 50",False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
OFF/ART-001098,"BIC Sketch Pad, Water Color",False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TEC/PHO-003676,"Nokia Headset, VoIP",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
OFF/ART-001124,"Binney & Smith Sketch Pad, Easy-Erase",False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OFF/ENV-001789,"Kraft Peel and Seal, Recycled",False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
TEC/ACC-003107,"Memorex Mouse, USB",False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OFF/LAB-002032,"Harbour Creations File Folder Labels, 5000 Label Set",False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
OFF/ENV-001755,"Jiffy Interoffice Envelope, Set of 50",False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
OFF/PAP-002242,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
OFF/ART-001151,"Boston Markers, Easy-Erase",False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OFF/STO-002562,"Eldon Folders, Single Width",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
OFF/BIN-001411,"Avery Hole Reinforcements, Durable",False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
OFF/ART-001161,"Boston Pens, Fluorescent",False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TEC/ACC-002961,"Enermax Keyboard, Bluetooth",False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TEC/COP-003305,"Sharp Ink, Laser",False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
FUR/BOO-000046,"Dania Classic Bookcase, Pine",True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
OFF/SUP-002845,"Fiskars Letter Opener, Easy Grip",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
OFF/APP-001009,"Hoover Stove, Black",False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OFF/ART-001118,"Binney & Smith Pencil Sharpener, Water Color",False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OFF/ART-001269,"Sanford Canvas, Fluorescent",False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
OFF/BIN-001513,GBC Standard Plastic Binding Systems Combs,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
OFF/LAB-001984,Avery 508,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
OFF/STO-002681,SAFCO Boltless Steel Shelving,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
FUR/FUR-000611,"Rubbermaid Photo Frame, Durable",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
OFF/FAS-001866,"Advantus Staples, Metal",False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
OFF/STO-002588,"Fellowes Box, Industrial",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
