region_id,state,country,market,region
6554348,California,United States,US,West
6554349,National Capital,Philippines,APAC,Southeast Asia
6554350,New York,United States,US,East
6554351,Distrito Federal,Mexico,LATAM,North
6554352,Madrid,Spain,EU,South
6554353,Sinaloa,Mexico,LATAM,North
6554354,Texas,United States,US,Central
6554355,Berlin,Germany,EU,Central
6554356,England,United Kingdom,EU,North
6554357,Uttar Pradesh,India,APAC,Central Asia
6554358,Western Visayas,Philippines,APAC,Southeast Asia
6554359,Minnesota,United States,US,Central
6554360,New South Wales,Australia,APAC,Oceania
6554361,Ile-de-France,France,EU,Central
6554362,Tamil Nadu,India,APAC,Central Asia
6554363,Wellington,New Zealand,APAC,Oceania
6554364,Nebraska,United States,US,Central
6554365,Lombardy,Italy,EU,South
6554366,Jalisco,Mexico,LATAM,North
6554367,Oregon,United States,US,West
6554368,Maharashtra,India,APAC,Central Asia
6554369,Tennessee,United States,US,South
6554370,Nuevo León,Mexico,LATAM,North
6554371,Lima (city),Peru,LATAM,South
6554372,Arizona,United States,US,West
6554373,Georgia,United States,US,South
6554374,Michoacán,Mexico,LATAM,North
6554375,Ouest,Haiti,LATAM,Caribbean
6554376,Apulia,Italy,EU,South
6554377,Pays de la Loire,France,EU,Central
6554378,Kabul,Afghanistan,APAC,Central Asia
6554379,Santa Fe,Argentina,LATAM,South
6554380,Rhode Island,United States,US,East
6554381,Sonora,Mexico,LATAM,North
6554382,Connecticut,United States,US,East
6554383,Jakarta,Indonesia,APAC,Southeast Asia
6554384,Midi-Pyrénées,France,EU,Central
6554385,Rhône-Alpes,France,EU,Central
6554386,México,Mexico,LATAM,North
6554387,Jawa Timur,Indonesia,APAC,Southeast Asia
6554388,Baja California,Mexico,LATAM,North
6554389,Saxony,Germany,EU,Central
6554390,Missouri,United States,US,Central
6554391,Michigan,United States,US,Central
6554392,South Australia,Australia,APAC,Oceania
6554393,Bangkok,Thailand,APAC,Southeast Asia
6554394,North Carolina,United States,US,South
6554395,Mayabeque,Cuba,LATAM,Caribbean
6554396,Junín,Peru,LATAM,South
6554397,Hordaland,Norway,EU,North
6554398,Telangana,India,APAC,Central Asia
6554399,Pennsylvania,United States,US,East
6554400,Hong Kong,Hong Kong,APAC,North Asia
6554401,Massachusetts,United States,US,East
6554402,Coahuila,Mexico,LATAM,North
6554403,Campania,Italy,EU,South
6554404,Artemisa,Cuba,LATAM,Caribbean
6554405,Aquitaine,France,EU,Central
6554406,Jawa Tengah,Indonesia,APAC,Southeast Asia
6554407,Oklahoma,United States,US,Central
6554408,Santo Domingo,Dominican Republic,LATAM,Caribbean
6554409,Ceará,Brazil,LATAM,South
6554410,Vienna,Austria,EU,Central
6554411,Camagüey,Cuba,LATAM,Caribbean
6554412,Queensland,Australia,APAC,Oceania
6554413,Kentucky,United States,US,South
6554414,Panama,Panama,LATAM,Central
6554415,Chittagong,Bangladesh,APAC,Central Asia
6554416,Sumatera Utara,Indonesia,APAC,Southeast Asia
6554417,Scotland,United Kingdom,EU,North
6554418,Victoria,Australia,APAC,Oceania
6554419,Perak,Malaysia,APAC,Southeast Asia
6554421,La Pampa,Argentina,LATAM,South
6554422,Balikesir,Turkey,EMEA,EMEA
6554423,Dnipropetrovs'k,Ukraine,EMEA,EMEA
6554424,Dagestan,Russia,EMEA,EMEA
6554425,Bursa,Turkey,EMEA,EMEA
6554426,Hrodna,Belarus,EMEA,EMEA
6554427,Kankan,Guinea,Africa,Africa
6554428,Ankara,Turkey,EMEA,EMEA
6554429,Lodz,Poland,EMEA,EMEA
6554430,Makkah,Saudi Arabia,EMEA,EMEA
